"run","density","fraction_blue","circle_blue","circle_orange","eth_con","val_lib","eth_lib","val_con","determinism","utility_function","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
34,70,50,50,50,1,1,0.5,0.6,12,"single-peaked",2000,0.966804407713499,0.975463274932615,0.686444921316166,0.67798632218845,0.892052833530107,0.937137803234502,0.913685366850603,0.934422492401216,0.102925243770314,0.193415637860082,0.0236051502145923,0.165094339622642,0.0319148936170213,0.0277777777777778,0.18021978021978,0.110294117647059,0.0950782997762864
17,70,50,50,50,1,1,0.5,0.5,16,"single-peaked",2000,0.95437753576767,0.94997680890538,0.661756261756262,0.641206097823745,0.742032351057016,0.898886827458256,0.804101079101078,0.911107519931049,0.0901146914254506,0.130044843049327,0.051975051975052,0.162337662337662,0.0158371040723982,0.0346695557963164,0.14647577092511,0.0895361380798274,0.0907079646017699
49,70,50,50,50,1,1,0.5,0.7,6,"single-peaked",2000,0.956073268159361,0.958415349438314,0.638452126032426,0.612129840546697,0.923249763481552,0.94384133611691,0.931278678494952,0.937531185594967,0.123980424143556,0.147577092511013,0.0985010706638116,0.183716075156576,0.061503416856492,0.0805739514348786,0.166130760986066,0.122692725298588,0.125272331154684
27,70,50,50,50,1,1,0.5,0.6,5,"single-peaked",2000,0.891810161564626,0.886727347526484,0.602741542051119,0.617670807453417,0.853438562925171,0.865666460968837,0.861981652349135,0.879120082815735,0.16978021978022,0.254464285714286,0.10467706013363,0.205183585313175,0.115217391304348,0.11001100110011,0.229418221734358,0.179487179487179,0.160346695557963
1,70,50,50,50,1,1,0.5,0.5,0,"single-peaked",2000,0.490491133691971,0.480656172421575,0.52119541364933,0.488383915798079,0.499272763498706,0.500781426314602,0.518970814132104,0.494635193133047,0.492222222222222,0.476987447698745,0.47926267281106,0.5260663507109,0.489270386266094,0.484444444444444,0.5,0.478070175438596,0.506756756756757
40,70,50,50,50,1,1,0.5,0.6,18,"single-peaked",2000,0.957761705934983,0.96681742566022,0.707207740916272,0.724725661934964,0.939216124863306,0.812520794343939,0.949348341232227,0.831911305748515,0.115111838516094,0.2,0.033175355450237,0.148471615720524,0.0697674418604651,0.0525139664804469,0.174840085287846,0.121951219512195,0.108485499462943
16,70,50,50,50,1,1,0.5,0.5,15,"single-peaked",2000,0.952355569093309,0.918253116697322,0.677617453231293,0.70840756625976,0.749977155041121,0.869614755773554,0.754743303571429,0.909644781700209,0.092511013215859,0.159914712153518,0.0714285714285714,0.122317596566524,0.0092378752886836,0.0408626560726447,0.141176470588235,0.116684841875682,0.067853170189099
30,70,50,50,50,1,1,0.5,0.6,8,"single-peaked",2000,0.946741169115349,0.95816361167685,0.658149185600166,0.648918694115201,0.89431332708138,0.871207933275143,0.909254071999169,0.867781763360366,0.119034852546917,0.155361050328228,0.0544662309368192,0.203665987780041,0.0567685589519651,0.0556161395856052,0.180379746835443,0.104803493449782,0.13277133825079
24,70,50,50,50,1,1,0.5,0.6,2,"single-peaked",2000,0.600589899636985,0.623533026113671,0.556643965790307,0.569057707828894,0.573417147127909,0.602045570916539,0.597389399218668,0.612005649717514,0.42639040348964,0.417040358744395,0.39689578713969,0.440860215053763,0.449152542372881,0.423618634886241,0.429198682766191,0.406911928651059,0.445037353255069
23,70,50,50,50,1,1,0.5,0.6,1,"single-peaked",2000,0.567091310751104,0.540104007341695,0.541573701063939,0.509456740442656,0.546386843397153,0.575017844396859,0.523099369899803,0.543192488262911,0.480978260869565,0.490721649484536,0.488069414316703,0.481798715203426,0.46135831381733,0.475225225225225,0.486344537815126,0.489429175475687,0.472035794183445
