"run","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","step","et_sq_bl","et_sq_or","et_cl_bl","et_cl_or","vl_sq_bl","vl_sq_or","vl_cl_bl","vl_cl_or","mv_gl","mv_sq_bl","mv_cl_bl","mv_sq_or","mv_cl_or","mv_cl","mv_sq","mv_bl","mv_or"
1668,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,3,2000,0.567386425834702,0.585927894133583,0.528061224489796,0.509352576647097,0.583795840175151,0.604790559549859,0.620512820512821,0.606381822135247,0.431932773109244,0.482758620689655,0.38021978021978,0.457330415754923,0.408675799086758,0.394176931690929,0.469730941704036,0.430337078651685,0.433519553072626
1670,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,5,2000,0.599109149277689,0.654779597613993,0.533997147245995,0.508153946510111,0.697201712145533,0.724939338792842,0.741205837173579,0.703522504892368,0.311521252796421,0.420224719101124,0.211981566820276,0.403397027600849,0.200913242009132,0.206422018348624,0.411572052401747,0.31740614334471,0.305830583058306
1667,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,2,2000,0.561241217798595,0.533023483365949,0.53117663899227,0.511837474120083,0.542547674807628,0.536415525114155,0.593193529916978,0.600398550724638,0.475328947368421,0.515222482435597,0.452905811623247,0.495433789954338,0.443478260869565,0.448383733055266,0.505202312138728,0.481641468682505,0.468819599109131
1669,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,4,2000,0.564507623224729,0.575694859533772,0.510309628237259,0.531630076272934,0.63844246031746,0.641836023112174,0.64234544695071,0.661835188620903,0.381749460043197,0.473684210526316,0.309210526315789,0.449790794979079,0.292207792207792,0.300653594771242,0.461456102783726,0.391447368421053,0.372340425531915
1671,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,6,2000,0.704640004149808,0.723265379113019,0.496759555840273,0.51778083028083,0.815525469447039,0.787060596770898,0.831801195814648,0.797863247863247,0.242934782608696,0.333333333333333,0.114349775784753,0.387580299785867,0.132478632478632,0.12363238512035,0.360691144708423,0.225414364640884,0.259893048128342
1672,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,7,2000,0.788865546218488,0.791255966255967,0.495501739508589,0.50320796460177,0.866031227305737,0.846650571650572,0.890644705370732,0.86539190897598,0.176866928691746,0.332608695652174,0.04337899543379,0.266821345707657,0.0619469026548673,0.0528089887640449,0.300785634118967,0.191536748329621,0.161947904869762
1673,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,8,2000,0.819058641975309,0.810280932456665,0.482493761696818,0.531095336685399,0.893157517636685,0.884177625024905,0.892194323144105,0.920346544414867,0.169638033495408,0.263888888888889,0.0633187772925764,0.320083682008368,0.0372670807453416,0.0499468650371945,0.293406593406593,0.160674157303371,0.177939646201873
1674,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,9,2000,0.858005482102548,0.873476080246914,0.491899880681202,0.508220686123912,0.896732236912823,0.900327932098766,0.920739776548433,0.911351766513057,0.142616507580011,0.246049661399549,0.0273348519362187,0.274193548387097,0.0301075268817204,0.0287610619469027,0.259977194982896,0.13718820861678,0.147942157953281
1675,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,10,2000,0.892230287033983,0.916240933459477,0.517239665096808,0.499475655430712,0.892013086989993,0.927436140018921,0.923199895342752,0.928239700374532,0.107322526551146,0.193995381062356,0.00879120879120879,0.217105263157895,0.0112359550561798,0.01,0.205849268841395,0.0990990990990991,0.11542730299667
1676,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,11,2000,0.929443364647447,0.929603676913804,0.504178925574807,0.512025690637429,0.941690962099126,0.941724432388989,0.950081726054266,0.951418897129958,0.137451307735114,0.244897959183673,0.0160183066361556,0.260504201680672,0.018058690744921,0.0170454545454545,0.252998909487459,0.130979498861048,0.143634385201306
1677,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,12,2000,0.932303370786517,0.935167384819357,0.500500454959053,0.515344742063492,0.945532370251471,0.922610761241852,0.956202608431908,0.945677083333333,0.119541484716157,0.21875,0.0106157112526539,0.251732101616628,0.0145833333333333,0.0126182965299685,0.234960272417707,0.112078346028292,0.127053669222344
1678,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,13,2000,0.940205144557823,0.931813002278997,0.512839960726559,0.495164796279446,0.931603422619048,0.940704090200312,0.952341678939617,0.955029825093519,0.111049416990561,0.200892857142857,0.0123711340206186,0.251889168765743,0.00849256900212314,0.0104602510460251,0.224852071005917,0.102893890675241,0.119815668202765
1680,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,15,2000,0.941065732513101,0.944887161213692,0.518481571733171,0.516990881458967,0.927090453406243,0.932053773890508,0.948086100111687,0.946142350557244,0.101553829078801,0.163895486935867,0.0127931769722814,0.230769230769231,0.0127659574468085,0.012779552715655,0.198146002317497,0.0842696629213483,0.118421052631579
1679,70,50,50,50,0.5,0.4,1,0.5,1,0.5,1,0.5,14,2000,0.939430176565008,0.944796269023074,0.526057622173596,0.496741417497232,0.922958801498128,0.94225822287678,0.937529957278316,0.948510520487264,0.118261826182618,0.192825112107623,0.0109409190371991,0.243298969072165,0.013953488372093,0.0124013528748591,0.219119226638024,0.10077519379845,0.13551912568306
1687,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,6,2000,0.727999894648125,0.681082408691632,0.488632275132275,0.498606721449642,0.787018015170671,0.724419209431346,0.798544973544973,0.782661715128529,0.245614035087719,0.365044247787611,0.14,0.360774818401937,0.126106194690265,0.133037694013304,0.363005780346821,0.252771618625277,0.238150289017341
1682,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,1,2000,0.517684417517007,0.513933078799449,0.510313089993707,0.517210144927537,0.512638180272109,0.528001378725209,0.529077512062094,0.551001552795031,0.508558807288791,0.535714285714286,0.484581497797357,0.523385300668151,0.491304347826087,0.487964989059081,0.529542920847269,0.509977827050998,0.507150715071507
1683,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,2,2000,0.533506398153975,0.5343236863711,0.498209041325781,0.509526420217209,0.561868051185232,0.557630336617406,0.571224040276904,0.579897660818714,0.450218818380744,0.458149779735683,0.469162995594714,0.456896551724138,0.416666666666667,0.442857142857143,0.457516339869281,0.463656387665198,0.43695652173913
1681,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,0,2000,0.483751402059753,0.511644925230671,0.495543981481481,0.526431986729118,0.492189252574691,0.487689574716301,0.490148258377425,0.492703454332553,0.517429193899782,0.558886509635974,0.502314814814815,0.507795100222717,0.5,0.501086956521739,0.533842794759825,0.531701890989989,0.503735325506937
1689,70,50,50,50,0.5,0.4,1,0.5,1,0.6,1,0.5,8,2000,0.860285924524336,0.851859135724775,0.53284480098735,0.474099812338728,0.916122674235257,0.902362597021188,0.922986732489972,0.912030846821488,0.151941474395048,0.253863134657837,0.0345572354211663,0.276923076923077,0.0320197044334975,0.0333716915995397,0.265418502202643,0.143013100436681,0.16144018583043
