"BehaviorSpace results (NetLogo 6.1.1)"
"value_weight_M.nlogo"
"experiment"
"05/19/2021 16:35:41:944 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","fraction_blue","circle_blue","circle_orange","dominant_con","M_con","eth_con","val_con","dominant_lib","M_lib","val_lib","eth_lib","determinism","[step]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [color = [color] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = orange]","mean [count (turtles-on neighbors) with [ shape = [ shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""square"" and color = orange]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and shape = ""circle"" and color = blue]","mean [count (turtles-on neighbors) with [shape = [shape] of myself] / count (turtles-on neighbors) ] of turtles with [ count (turtles-on neighbors) >= 1 and  shape = ""circle""  and color = orange]","count turtles with [movers? = TRUE] / count turtles","count turtles with [movers? = TRUE and color = blue and shape = ""square""] / count turtles with [color = blue and shape = ""square""]","count turtles with [movers? = TRUE and color = blue and shape = ""circle""] / count turtles with [color = blue and shape = ""circle""]","count turtles with [movers? = TRUE and color = orange and shape =  ""square""] / count turtles with [color = orange and shape =  ""square""]","count turtles with [movers? = TRUE and color = orange and shape = ""circle""] / count turtles with [color = orange and shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""circle""] / count turtles with [shape =  ""circle""]","count turtles with [movers? = TRUE and shape =  ""square""] / count turtles with [shape =  ""square""]","count turtles with [movers? = TRUE and color = blue] / count turtles with [color = blue]","count turtles with [movers? = TRUE and color = orange] / count turtles with [color = orange]"
"40","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","7","2000","0.6567895086321384","0.6450623202301052","0.5327927306188178","0.5280797701911392","0.6059476380193514","0.6055768616171303","0.5927018633540373","0.5993868080875044","0.3381615598885794","0.3645418326693227","0.2891566265060241","0.37583892617449666","0.31554524361948955","0.30260047281323876","0.3698630136986301","0.33042529989094876","0.3462414578587699"
"42","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","9","2000","0.6870001030715318","0.6837635054021616","0.5370763382958508","0.5241374559082892","0.6024324881467744","0.6336209483793516","0.6349091964945628","0.6561645723104064","0.2694840834248079","0.2922077922077922","0.23725055432372505","0.3228511530398323","0.2199074074074074","0.2287655719139298","0.3077742279020234","0.26506024096385544","0.2739273927392739"
"63","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","14","2000","0.7617575663671108","0.7179419874854172","0.5532309322033906","0.572579365079365","0.6397970251007135","0.6324079966062152","0.6583030669895075","0.7202222222222224","0.17557251908396945","0.19480519480519481","0.16101694915254236","0.2222222222222222","0.12444444444444444","0.14316702819956617","0.20833333333333334","0.1777301927194861","0.17333333333333334"
"41","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","8","2000","0.688519620811288","0.7055218383649763","0.5292536115569825","0.5370395807895809","0.5980516975308651","0.5956738250855897","0.6483279828785447","0.6363832926332929","0.31357340720221605","0.3579676674364896","0.2786516853932584","0.33769063180827885","0.28205128205128205","0.28039430449069","0.3475336322869955","0.31776765375854216","0.30960086299892126"
"47","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","14","2000","0.7020930594460013","0.7213665086887844","0.5457963699398387","0.5165384615384614","0.6187467579624446","0.6329665989618599","0.7053507698582645","0.6809052851909994","0.22382271468144044","0.30501089324618735","0.1777301927194861","0.25471698113207547","0.16043956043956045","0.16919739696312364","0.2808607021517554","0.2408207343412527","0.20591581342434584"
"5","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","4","2000","0.5696455144557825","0.6062417504315163","0.49069526115530926","0.5486856738449095","0.5476535926870748","0.5527413950654888","0.548209961950882","0.5559169952482059","0.4306326304106548","0.39285714285714285","0.4358353510895884","0.44680851063829785","0.445859872611465","0.4411764705882353","0.420479302832244","0.413472706155633","0.4463336875664187"
"55","70","50","50","50","0.5","0","1","0.5","0.5","0.3","1","0.5","6","2000","0.6121970184470185","0.6383842837546546","0.5213787375415286","0.5521444339325138","0.5823546761046765","0.5854252400548703","0.5821040974529346","0.5888573530957638","0.3938223938223938","0.38063063063063063","0.39069767441860465","0.42386831275720166","0.37748344370860926","0.38391845979614947","0.4032258064516129","0.38558352402745993","0.4014909478168264"
"11","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","10","2000","0.6752197374276818","0.6692713326941521","0.49933152231809913","0.5326582940868652","0.6077492211838008","0.6077207840630663","0.6501784382656868","0.6796493982208274","0.2830613393359595","0.35514018691588783","0.23042505592841164","0.34675615212527966","0.2043956043956044","0.21729490022172948","0.35085714285714287","0.2914285714285714","0.2749445676274945"
"37","70","50","50","50","0.5","0","1","0.5","0.5","0.2","1","0.5","4","2000","0.6165560471976401","0.5783255993812841","0.5385078039566557","0.5234337222747821","0.5547434681837339","0.5226715280079555","0.5862163236902276","0.5877168085777357","0.418732782369146","0.4358407079646018","0.4154488517745303","0.41299303944315546","0.4105960264900662","0.4130901287553648","0.4246885617214043","0.4253490870032223","0.4117647058823529"
"3","70","50","50","50","0.5","0","1","0.5","0.5","0","1","0.5","2","2000","0.5580825678386655","0.5667854503220362","0.5203943940814837","0.5267100484261504","0.5233185513673314","0.5232947946362577","0.5413306241533816","0.541883575464084","0.4642271982523211","0.4745011086474501","0.4617067833698031","0.44124168514412415","0.4788135593220339","0.4703982777179763","0.45787139689578715","0.46806167400881055","0.46045503791982667"
